SizeOfDocument,BodyNumChars,BodyNumWords,BodyNumUniqueWords,BodyRichness,BodyNumFunctionWords,BodyVerifyYourAccountPhrase,SubjectNumChars,SubjectNumWords,SubjectRichness
768.0,571.0,120.0,54.0,0.21015761821366025,46.0,0.0,41.0,9.0,0.21951219512195122
801.0,619.0,116.0,37.0,0.18739903069466882,56.0,0.0,43.0,7.0,0.16279069767441862
801.0,619.0,116.0,36.0,0.18739903069466882,56.0,0.0,43.0,7.0,0.16279069767441862
845.0,633.0,141.0,59.0,0.22274881516587677,50.0,0.0,34.0,10.0,0.29411764705882354
792.0,597.0,119.0,47.0,0.19932998324958123,53.0,0.0,43.0,9.0,0.20930232558139536
897.0,683.0,141.0,63.0,0.20644216691068815,55.0,0.0,43.0,7.0,0.16279069767441862
808.0,601.0,120.0,56.0,0.19966722129783693,48.0,0.0,52.0,9.0,0.17307692307692307
806.0,584.0,129.0,63.0,0.2208904109589041,33.0,0.0,52.0,9.0,0.17307692307692307
629.0,490.0,103.0,47.0,0.21020408163265306,49.0,0.0,15.0,3.0,0.2
761.0,602.0,126.0,47.0,0.20930232558139536,42.0,0.0,15.0,2.0,0.13333333333333333
715.0,567.0,110.0,43.0,0.19400352733686066,45.0,0.0,18.0,3.0,0.16666666666666666
728.0,552.0,117.0,44.0,0.21195652173913043,44.0,0.0,27.0,4.0,0.14814814814814814
730.0,574.0,120.0,46.0,0.20905923344947736,57.0,0.0,14.0,3.0,0.21428571428571427
753.0,576.0,111.0,49.0,0.19270833333333334,42.0,0.0,41.0,6.0,0.14634146341463414
766.0,602.0,126.0,44.0,0.20930232558139536,42.0,0.0,19.0,3.0,0.15789473684210525
819.0,575.0,115.0,60.0,0.2,36.0,0.0,71.0,14.0,0.19718309859154928
743.0,561.0,115.0,56.0,0.20499108734402852,45.0,0.0,46.0,8.0,0.17391304347826086
1146.0,893.0,191.0,51.0,0.21388577827547592,76.0,0.0,37.0,7.0,0.1891891891891892
763.0,591.0,116.0,59.0,0.19627749576988154,36.0,0.0,30.0,6.0,0.2
839.0,669.0,131.0,50.0,0.19581464872944693,42.0,0.0,13.0,2.0,0.15384615384615385
686.0,503.0,98.0,54.0,0.19483101391650098,43.0,0.0,42.0,7.0,0.16666666666666666
773.0,599.0,125.0,63.0,0.20868113522537562,36.0,0.0,24.0,3.0,0.125
837.0,495.0,107.0,35.0,0.21616161616161617,53.0,0.0,72.0,12.0,0.16666666666666666
748.0,581.0,118.0,58.0,0.20309810671256454,36.0,0.0,23.0,3.0,0.13043478260869565
741.0,580.0,113.0,46.0,0.19482758620689655,55.0,0.0,24.0,3.0,0.125
825.0,608.0,132.0,63.0,0.21710526315789475,33.0,0.0,37.0,9.0,0.24324324324324326
741.0,576.0,114.0,39.0,0.19791666666666666,52.0,0.0,30.0,3.0,0.1
722.0,578.0,107.0,53.0,0.185121107266436,52.0,0.0,7.0,1.0,0.14285714285714285
734.0,563.0,122.0,64.0,0.216696269982238,34.0,0.0,29.0,6.0,0.20689655172413793
311.0,216.0,46.0,31.0,0.21296296296296297,24.0,0.0,35.0,6.0,0.17142857142857143
743.0,582.0,119.0,61.0,0.20446735395189003,50.0,0.0,19.0,4.0,0.21052631578947367
835.0,578.0,122.0,61.0,0.21107266435986158,41.0,0.0,81.0,16.0,0.19753086419753085
790.0,592.0,123.0,56.0,0.20777027027027026,53.0,0.0,40.0,9.0,0.225
1140.0,867.0,191.0,49.0,0.22029988465974626,66.0,0.0,46.0,8.0,0.17391304347826086
734.0,488.0,107.0,63.0,0.2192622950819672,32.0,0.0,70.0,15.0,0.21428571428571427
752.0,582.0,118.0,59.0,0.2027491408934708,36.0,0.0,30.0,4.0,0.13333333333333333
661.0,486.0,96.0,51.0,0.19753086419753085,45.0,0.0,46.0,8.0,0.17391304347826086
855.0,623.0,127.0,69.0,0.20385232744783308,34.0,0.0,42.0,6.0,0.14285714285714285
316.0,223.0,49.0,34.0,0.21973094170403587,24.0,0.0,26.0,4.0,0.15384615384615385
392.0,269.0,61.0,39.0,0.22676579925650558,28.0,0.0,45.0,8.0,0.17777777777777778
387.0,289.0,58.0,35.0,0.20069204152249134,26.0,0.0,21.0,4.0,0.19047619047619047
1110.0,852.0,177.0,47.0,0.20774647887323944,76.0,0.0,46.0,6.0,0.13043478260869565
1140.0,867.0,191.0,49.0,0.22029988465974626,66.0,0.0,46.0,8.0,0.17391304347826086
1261.0,953.0,196.0,45.0,0.20566631689401887,74.0,0.0,69.0,13.0,0.18840579710144928
359.0,247.0,54.0,31.0,0.21862348178137653,28.0,0.0,40.0,8.0,0.2
821.0,623.0,79.0,73.0,0.12680577849117175,32.0,0.0,78.0,16.0,0.20512820512820512
905.0,708.0,144.0,68.0,0.2033898305084746,46.0,0.0,32.0,5.0,0.15625
702.0,520.0,101.0,68.0,0.19423076923076923,29.0,0.0,32.0,5.0,0.15625
665.0,498.0,98.0,50.0,0.19678714859437751,37.0,0.0,18.0,4.0,0.2222222222222222
836.0,646.0,65.0,52.0,0.10061919504643962,34.0,0.0,85.0,18.0,0.21176470588235294
714.0,544.0,109.0,68.0,0.20036764705882354,35.0,0.0,23.0,5.0,0.21739130434782608
750.0,595.0,123.0,49.0,0.20672268907563024,39.0,0.0,15.0,4.0,0.26666666666666666
752.0,582.0,118.0,60.0,0.2027491408934708,36.0,0.0,30.0,4.0,0.13333333333333333
615.0,490.0,99.0,43.0,0.20204081632653062,45.0,0.0,6.0,1.0,0.16666666666666666
711.0,547.0,106.0,65.0,0.19378427787934185,35.0,0.0,24.0,4.0,0.16666666666666666
722.0,557.0,115.0,62.0,0.20646319569120286,37.0,0.0,19.0,2.0,0.10526315789473684
752.0,582.0,118.0,60.0,0.2027491408934708,36.0,0.0,30.0,4.0,0.13333333333333333
736.0,577.0,108.0,45.0,0.18717504332755633,47.0,0.0,21.0,3.0,0.14285714285714285
752.0,566.0,122.0,46.0,0.21554770318021202,53.0,0.0,45.0,9.0,0.2
782.0,577.0,113.0,73.0,0.19584055459272098,28.0,0.0,32.0,7.0,0.21875
897.0,692.0,157.0,60.0,0.22687861271676302,37.0,0.0,22.0,5.0,0.22727272727272727
895.0,707.0,149.0,58.0,0.21074964639321075,46.0,0.0,15.0,4.0,0.26666666666666666
780.0,615.0,118.0,38.0,0.191869918699187,54.0,0.0,31.0,4.0,0.12903225806451613
776.0,566.0,110.0,73.0,0.19434628975265017,31.0,0.0,49.0,12.0,0.24489795918367346
907.0,694.0,152.0,50.0,0.21902017291066284,58.0,0.0,38.0,6.0,0.15789473684210525
744.0,582.0,118.0,61.0,0.2027491408934708,36.0,0.0,23.0,3.0,0.13043478260869565
744.0,582.0,118.0,61.0,0.2027491408934708,36.0,0.0,23.0,3.0,0.13043478260869565
744.0,582.0,118.0,61.0,0.2027491408934708,36.0,0.0,23.0,3.0,0.13043478260869565
305.0,233.0,51.0,31.0,0.21888412017167383,27.0,0.0,11.0,3.0,0.2727272727272727
725.0,566.0,108.0,49.0,0.19081272084805653,47.0,0.0,25.0,3.0,0.12
842.0,628.0,138.0,42.0,0.2197452229299363,60.0,0.0,50.0,9.0,0.18
733.0,584.0,120.0,52.0,0.2054794520547945,42.0,0.0,14.0,3.0,0.21428571428571427
765.0,582.0,109.0,54.0,0.1872852233676976,45.0,0.0,40.0,4.0,0.1
742.0,529.0,109.0,58.0,0.2060491493383743,46.0,0.0,48.0,7.0,0.14583333333333334
935.0,723.0,156.0,52.0,0.2157676348547718,65.0,0.0,27.0,4.0,0.14814814814814814
850.0,641.0,124.0,53.0,0.1934477379095164,47.0,0.0,53.0,10.0,0.18867924528301888
682.0,491.0,103.0,46.0,0.20977596741344195,46.0,0.0,48.0,7.0,0.14583333333333334
682.0,491.0,103.0,46.0,0.20977596741344195,46.0,0.0,48.0,7.0,0.14583333333333334
776.0,584.0,109.0,54.0,0.18664383561643835,43.0,0.0,46.0,7.0,0.15217391304347827
821.0,629.0,126.0,57.0,0.20031796502384738,32.0,0.0,36.0,10.0,0.2777777777777778
802.0,614.0,129.0,47.0,0.21009771986970685,42.0,0.0,36.0,7.0,0.19444444444444445
752.0,598.0,121.0,42.0,0.20234113712374582,43.0,0.0,13.0,2.0,0.15384615384615385
579.0,426.0,83.0,42.0,0.19483568075117372,33.0,0.0,39.0,8.0,0.20512820512820512
503.0,361.0,79.0,55.0,0.2188365650969529,24.0,0.0,28.0,6.0,0.21428571428571427
776.0,584.0,109.0,54.0,0.18664383561643835,47.0,0.0,46.0,7.0,0.15217391304347827
774.0,601.0,110.0,46.0,0.18302828618968386,52.0,0.0,40.0,7.0,0.175
857.0,668.0,142.0,42.0,0.2125748502994012,56.0,0.0,26.0,5.0,0.19230769230769232
748.0,571.0,120.0,54.0,0.21015761821366025,45.0,0.0,27.0,4.0,0.14814814814814814
656.0,485.0,96.0,56.0,0.1979381443298969,28.0,0.0,35.0,7.0,0.2
760.0,584.0,109.0,54.0,0.18664383561643835,44.0,0.0,33.0,4.0,0.12121212121212122
803.0,591.0,121.0,49.0,0.20473773265651438,40.0,0.0,56.0,12.0,0.21428571428571427
808.0,576.0,118.0,45.0,0.2048611111111111,54.0,0.0,77.0,17.0,0.22077922077922077
370.0,263.0,53.0,40.0,0.20152091254752852,24.0,0.0,37.0,8.0,0.21621621621621623
